47.238.95.27:443#Tokyo 44.09MB/s
8.39.125.242:443#Singapore 39.34MB/s
172.64.53.139:443#Tokyo 39.03MB/s
172.64.52.41:443#Tokyo 38.83MB/s
162.159.62.170:443#Singapore 38.12MB/s
191.222.212.7:443#Tokyo 38.68MB/s
172.64.229.196:443#Tokyo 36.65MB/s
43.159.4.80:443#Singapore 39.34MB/s
104.18.42.218:443#Singapore 36.01MB/s
188.164.248.21:443#Singapore 35.91MB/s
172.64.145.202:443#Singapore 35.78MB/s
54.65.102.178:443#Tokyo 30.66MB/s
188.164.248.154:443#Singapore 35.47MB/s
104.18.34.254:443#Singapore 35.47MB/s
188.164.248.196:443#Singapore 34.75MB/s
172.64.229.176:443#Tokyo 34.43MB/s
172.64.229.241:443#Tokyo 34.02MB/s
52.196.216.198:443#Tokyo 33.97MB/s
104.18.38.120:443#Singapore 33.89MB/s
172.64.53.58:443#Tokyo 33.34MB/s
162.159.44.229:443#Tokyo 33.33MB/s
162.159.38.17:443#Tokyo 33.15MB/s
54.254.252.133:443#Singapore 33.13MB/s
57.180.78.168:443#Tokyo 32.69MB/s
54.64.243.213:443#Tokyo 32.49MB/s
52.192.132.1:8443#Tokyo 33.82MB/s
45.94.40.84:8443#Tokyo 34.37MB/s
162.159.44.27:2096#Tokyo 31.30MB/s
191.222.213.234:443#Tokyo 35.73MB/s
191.222.213.143:443#Tokyo 34.45MB/s
45.89.219.72:443#Singapore 34.24MB/s
191.222.210.36:443#Tokyo 33.32MB/s
45.89.219.65:443#Singapore 31.37MB/s
191.222.217.90:443#Hong Kong 30.64MB/s
13.213.93.41:443#Singapore 39.86MB/s
57.182.53.21:443#Tokyo 37.15MB/s
202.61.75.213:8443#Kuala Lumpur 35.47MB/s
54.199.0.109:443#Tokyo 34.14MB/s
3.39.189.66:443#Seoul 33.70MB/s
65.49.237.102:443#Tokyo 33.49MB/s
35.78.173.242:443#Tokyo 33.36MB/s
57.180.64.160:443#Tokyo 32.32MB/s
52.69.67.254:8443#Tokyo 31.96MB/s
54.64.10.231:443#Tokyo 30.08MB/s
172.64.52.127:443#Tokyo 40.97MB/s
54.95.81.232:443#Tokyo 31.57MB/s
54.95.107.59:8443#Tokyo 30.49MB/s
162.159.39.40:443#Tokyo 40.01MB/s
172.64.53.63:443#Tokyo 37.80MB/s
172.64.229.67:443#Tokyo 36.05MB/s
54.95.11.163:443#Tokyo 32.73MB/s
162.159.39.63:443#Tokyo 43.16MB/s
162.159.38.161:443#Tokyo 37.62MB/s
45.94.40.69:8443#Tokyo 41.42MB/s
8.218.102.168:443#Hong Kong 34.50MB/s
191.222.216.205:443#Hong Kong 31.54MB/s
172.64.229.132:443#JP-IPv4 01
172.64.229.52:443#JP-IPv4 02
172.64.229.254:443#JP-IPv4 03
172.64.229.244:443#JP-IPv4 04
172.64.229.71:443#JP-IPv4 05
172.64.229.206:443#JP-IPv4 06
172.64.229.146:443#JP-IPv4 07
172.64.229.7:443#JP-IPv4 08
172.64.229.141:443#JP-IPv4 09
172.64.229.236:443#JP-IPv4 10
172.64.229.6:443#JP-IPv4 11
172.64.229.253:443#JP-IPv4 12
172.64.229.41:443#JP-IPv4 13
172.64.229.70:443#JP-IPv4 14
172.64.229.211:443#JP-IPv4 15
172.64.229.175:443#JP-IPv4 16
172.64.229.169:443#JP-IPv4 17
172.64.229.177:443#JP-IPv4 18
172.64.229.113:443#JP-IPv4 19
172.64.229.245:443#JP-IPv4 20
